verdict,title,lot_string,grade_class,language,product_line,current_total,max_bid_total,max_bid_hammer,headroom,comp,n_sales_90d,last_sold,confidence,fc_comp,fc_n_sales,fc_last_sold,win_likely,floor,active_supply,bids,auction_ends_at,url,reason
WATCH,2004 Pokemon EX Team Magma VS Aqua Holo Team Aqua's Kyogre #3 CGC 10 GEM MINT,WA238 Lot: 11498,CGC10_GEM,EN,TCG,96.0,266.89,222.41,170.89,425.45,0,,0.35,234.0,2,2026-03-30,True,,,19,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/eb1ed9aa-86ac-11f1-921a-02ba9858bad3/2004-pokemon-ex-team-magma-vs-aqua-holo-team-aquas-kyogre-3-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon Skyridge Reverse Holo Staryu #104 CGC 10 GEM MINT,WA239 Lot: 12975F3,CGC10_GEM,EN,TCG,6.0,167.76,139.8,161.76,272.73,0,,0.35,150.0,2,2026-04-20,True,350.0,1,1,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/f10ee798-920e-11f1-a1b8-0a58a9feac02/2003-pokemon-skyridge-reverse-holo-staryu-104-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,1999 Pokemon Base Set Shadowless 1st Edition Gastly #50 CGC 10 GEM MINT,WA238 Lot: 9745F2,CGC10_GEM,EN,TCG,60.0,210.24,175.2,150.24,338.18,0,,0.35,186.0,5,2026-07-06,True,949.99,1,6,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/dc7bdcac-8e38-11f1-885b-0a312a51d447/1999-pokemon-base-set-shadowless-1st-edition-gastly-50-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon EX Dragon Holo Roselia #9 CGC 10 PRISTINE,WA238 Lot: 11117,CGC10_PRISTINE,EN,TCG,69.6,217.32,181.1,147.72,349.09,0,,0.35,192.0,1,2025-12-22,True,,,10,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/31e12764-8629-11f1-b4d2-02ba9858bad3/2003-pokemon-ex-dragon-holo-roselia-9-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon Ex Dragon Reverse Holo Flygon #15 CGC 10 GEM MINT,WA238 Lot: 11129,CGC10_GEM,EN,TCG,37.2,151.6,126.33,114.4,245.14,3,2026-07-21,0.45,33.0,2,2026-03-09,True,,,5,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/27d53404-89bc-11f1-b2ee-0a58a9feac02/2003-pokemon-ex-dragon-reverse-holo-flygon-15-cgc-10-gem-mint,"3 sales/90d — slow mover, bid only well under max"
WATCH,2003 Pokemon EX Sandstorm Reverse Holo Omanyte #70 CGC 10 GEM MINT,WA238 Lot: 11329,CGC10_GEM,EN,TCG,16.8,153.59,127.99,136.79,250.91,0,,0.35,138.0,1,2026-07-13,True,,,2,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/86ea4724-8a87-11f1-9aa2-02fff561b66f/2003-pokemon-ex-sandstorm-reverse-holo-omanyte-70-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2004 Pokemon EX Team Magma VS Aqua Holo Team Magma's Groudon #9 CGC 10 GEM MINT,WA238 Lot: 11523,CGC10_GEM,EN,TCG,126.0,262.17,218.48,136.17,418.18,0,,0.35,230.0,3,2026-05-25,True,,,17,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/eaf0cb32-86ac-11f1-bccd-02ba9858bad3/2004-pokemon-ex-team-magma-vs-aqua-holo-team-magmas-groudon-9-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2003 Pokemon EX Sandstorm Holo Dusclops #4 CGC 10 GEM MINT,WA238 Lot: 11255,CGC10_GEM,EN,TCG,16.8,146.51,122.09,129.71,240.0,0,,0.35,132.0,3,2026-05-25,True,445.0,1,6,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/4d617e4e-8a89-11f1-8e25-02fff561b66f/2003-pokemon-ex-sandstorm-holo-dusclops-4-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2004 Pokemon Ex Fire Red & Leaf Green Holo Beedrill #1 CGC 10 GEM MINT,WA238 Lot: 11440,CGC10_GEM,EN,TCG,19.2,146.51,122.09,127.31,240.0,0,,0.35,132.0,1,2026-06-01,True,399.98,1,3,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/31ef2616-8629-11f1-ac27-02ba9858bad3/2004-pokemon-ex-fire-red-leaf-green-holo-beedrill-1-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2006 Pokemon Japanese Bandai Kids Cards Attack 3 Deoxys Psycho Boost #335 CGC 10 GEM MINT,WA238 Lot: 11896F1,CGC10_GEM,JA,BANDAI,26.4,153.59,127.99,127.19,250.91,0,,0.35,138.0,1,2026-08-03,True,,,3,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/665b36f8-8da7-11f1-a96a-062b9c84d895/2006-pokemon-japanese-bandai-kids-cards-attack-3-deoxys-psycho-boost-335-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
WATCH,2008 Pokemon Japanese Infernape Half Deck 1st Edition Flareon 4 #2 CGC 10 PRISTINE,WA239 Lot: 13456,CGC10_PRISTINE,JA,TCG,0.0,123.85,103.21,123.85,205.09,0,,0.35,112.8,1,2026-05-04,True,,,0,2026-08-17T02:00:00Z,https://www.fanaticscollect.com/weekly/483d0384-8d09-11f1-9e44-0a58a9feac02/2008-pokemon-japanese-infernape-half-deck-1st-edition-flareon-4-2-cgc-10-pristine,FC comps only — eBay sell-through unverified
WATCH,2004 Pokemon Ex Fire Red & Leaf Green Holo Beedrill #1 CGC 10 GEM MINT,WA238 Lot: 11439,CGC10_GEM,EN,TCG,24.0,146.51,122.09,122.51,240.0,0,,0.35,132.0,1,2026-06-01,True,399.98,1,4,2026-08-10T02:00:00Z,https://www.fanaticscollect.com/weekly/e3236332-81e9-11f1-a743-0a58a9feac02/2004-pokemon-ex-fire-red-leaf-green-holo-beedrill-1-cgc-10-gem-mint,FC comps only — eBay sell-through unverified
